,Member,Party Name,Constituency
125,"Gangapuram, Shri Kishan Reddy",Bharatiya Janata Party,Secunderabad (Telangana)
126,"Gangwar, Shri Santosh Kumar",Bharatiya Janata Party,Bareilly (Uttar Pradesh)
127,"Gao, Shri Tapir",Bharatiya Janata Party,Arunachal East (Arunachal Pradesh)
128,"Gautam, Shri Satish Kumar",Bharatiya Janata Party,Aligarh (Uttar Pradesh)
129,"Gavit, Dr. Heena Vijaykumar",Bharatiya Janata Party,Nandurbar (ST)(Maharashtra)
130,"Gavit, Shri Rajendra Dhedya",Shiv Sena,Palghar (ST)(Maharashtra)
131,"General (Retd.), Dr. Vijay Kumar Singh",Bharatiya Janata Party,Ghaziabad (Uttar Pradesh)
132,"Ghosh, Shri Dilip",Bharatiya Janata Party,Medinipur (West Bengal)
133,"Gill, Shri Jasbir Singh",Indian National Congress,Khadoor Sahib (Punjab)
134,"Gnanathiraviam, Shri S.",Dravida Munnetra Kazhagam,Tirunelveli (Tamil Nadu)
135,"Godse, Shri Hemant Tukaram",Shiv Sena,Nashik (Maharashtra)
136,"Gogoi, Shri Gaurav",Indian National Congress,Kaliabor (Assam)
137,"Gogoi, Shri Topon Kumar",Bharatiya Janata Party,Jorhat (Assam)
138,"Gopal Jee Thakur, Shri",Bharatiya Janata Party,Darbhanga (Bihar)
139,"Goswami, Shri Dulal Chandra",Janata Dal (United),Katihar (Bihar)
140,"Gowda, Shri Devaragunda Venkappa Sadananda",Bharatiya Janata Party,Bangalore North (Karnataka)
141,"Gupta, Shri Sangamlal Kadedin",Bharatiya Janata Party,Pratapgarh (Uttar Pradesh)
142,"Gupta, Shri Sudheer",Bharatiya Janata Party,Mandsour (Madhya Pradesh)
143,"Gurjar, Shri Krishan Pal",Bharatiya Janata Party,Faridabad (Haryana)
144,"Gurumoorthy, Shri Maddila",Yuvajana Sramika Rythu Congress Party,Tirupati (SC)(Andhra Pradesh)
145,"Hans, Shri Hans Raj",Bharatiya Janata Party,North West Delhi (SC)(NCT of Delhi)
146,"Hansdak, Shri Vijay Kumar",Jharkhand Mukti Morcha,Rajmahal (ST)(Jharkhand)
147,"Haridas, Ms. Ramya",Indian National Congress,Alathur (SC)(Kerala)
148,"Harsh Vardhan , Dr.",Bharatiya Janata Party,Chandni Chowk (NCT of Delhi)
149,"Hasan, Dr. S.T.",Samajwadi Party,Moradabad (Uttar Pradesh)
